L1D_cache_size,L1I_cache_size,L2_cache_size,unrolling_factor,number of cycles,L1I_KB,L1D_KB,L2_KB,total_Memory_KB,exec_time_cc
2kB,16kB,256kB,4,59803203,16,2,256,274,59803203
2kB,16kB,256kB,8,59650306,16,2,256,274,59650306
2kB,16kB,256kB,16,59563182,16,2,256,274,59563182
2kB,16kB,256kB,32,59397275,16,2,256,274,59397275
2kB,16kB,512kB,2,59968503,16,2,512,530,59968503
2kB,16kB,512kB,4,59778858,16,2,512,530,59778858
2kB,16kB,512kB,8,59617686,16,2,512,530,59617686
2kB,16kB,512kB,16,59538881,16,2,512,530,59538881
2kB,16kB,512kB,32,59382221,16,2,512,530,59382221
2kB,16kB,1024kB,2,59975639,16,2,1024,1042,59975639
2kB,16kB,1024kB,4,59793865,16,2,1024,1042,59793865
2kB,16kB,1024kB,8,59647499,16,2,1024,1042,59647499
2kB,16kB,1024kB,16,59571263,16,2,1024,1042,59571263
2kB,16kB,1024kB,32,59382607,16,2,1024,1042,59382607
4kB,16kB,128kB,2,59902474,16,4,128,148,59902474
4kB,16kB,128kB,4,59714104,16,4,128,148,59714104
4kB,16kB,128kB,8,59557946,16,4,128,148,59557946
4kB,16kB,128kB,16,59456548,16,4,128,148,59456548
4kB,16kB,128kB,32,59266744,16,4,128,148,59266744
4kB,16kB,256kB,2,59886901,16,4,256,276,59886901
4kB,16kB,256kB,4,59684849,16,4,256,276,59684849
4kB,16kB,256kB,8,59544209,16,4,256,276,59544209
4kB,16kB,256kB,16,59447444,16,4,256,276,59447444
4kB,16kB,256kB,32,59255176,16,4,256,276,59255176
4kB,16kB,512kB,2,59864650,16,4,512,532,59864650
4kB,16kB,512kB,4,59671653,16,4,512,532,59671653
4kB,16kB,512kB,8,59519309,16,4,512,532,59519309
4kB,16kB,512kB,16,59432138,16,4,512,532,59432138
4kB,16kB,512kB,32,59244650,16,4,512,532,59244650
4kB,16kB,1024kB,2,59841786,16,4,1024,1044,59841786
4kB,16kB,1024kB,4,59655901,16,4,1024,1044,59655901
4kB,16kB,1024kB,8,59511228,16,4,1024,1044,59511228
4kB,16kB,1024kB,16,59439222,16,4,1024,1044,59439222
4kB,16kB,1024kB,32,59268111,16,4,1024,1044,59268111
8kB,16kB,128kB,2,59811215,16,8,128,152,59811215
8kB,16kB,128kB,4,59617962,16,8,128,152,59617962
8kB,16kB,128kB,8,59461494,16,8,128,152,59461494
8kB,16kB,128kB,16,59366412,16,8,128,152,59366412
8kB,16kB,128kB,32,59228140,16,8,128,152,59228140
8kB,16kB,256kB,2,59794203,16,8,256,280,59794203
8kB,16kB,256kB,4,59591317,16,8,256,280,59591317
8kB,16kB,256kB,8,59445914,16,8,256,280,59445914
8kB,16kB,256kB,16,59353858,16,8,256,280,59353858
8kB,16kB,256kB,32,59217371,16,8,256,280,59217371
8kB,16kB,512kB,2,59768608,16,8,512,536,59768608
8kB,16kB,512kB,4,59586082,16,8,512,536,59586082
8kB,16kB,512kB,8,59428964,16,8,512,536,59428964
8kB,16kB,512kB,16,59342646,16,8,512,536,59342646
8kB,16kB,512kB,32,59208602,16,8,512,536,59208602
8kB,16kB,1024kB,2,59776394,16,8,1024,1048,59776394
8kB,16kB,1024kB,4,59592412,16,8,1024,1048,59592412
8kB,16kB,1024kB,8,59447661,16,8,1024,1048,59447661
8kB,16kB,1024kB,16,59371970,16,8,1024,1048,59371970
8kB,16kB,1024kB,32,59235384,16,8,1024,1048,59235384
16kB,16kB,128kB,2,42903590,16,16,128,160,42903590
16kB,16kB,128kB,4,42691594,16,16,128,160,42691594
16kB,16kB,128kB,8,42525130,16,16,128,160,42525130
16kB,16kB,128kB,16,42452179,16,16,128,160,42452179
16kB,16kB,128kB,32,42300132,16,16,128,160,42300132
16kB,16kB,256kB,2,42888018,16,16,256,288,42888018
16kB,16kB,256kB,4,42674657,16,16,256,288,42674657
16kB,16kB,256kB,8,42507319,16,16,256,288,42507319
16kB,16kB,256kB,16,42434682,16,16,256,288,42434682
16kB,16kB,256kB,32,42286086,16,16,256,288,42286086
16kB,16kB,512kB,2,42873431,16,16,512,544,42873431
16kB,16kB,512kB,4,42655754,16,16,512,544,42655754
16kB,16kB,512kB,8,42493767,16,16,512,544,42493767
16kB,16kB,512kB,16,42436606,16,16,512,544,42436606
16kB,16kB,512kB,32,42314262,16,16,512,544,42314262
16kB,16kB,1024kB,2,42885725,16,16,1024,1056,42885725
16kB,16kB,1024kB,4,42683820,16,16,1024,1056,42683820
16kB,16kB,1024kB,8,42505658,16,16,1024,1056,42505658
16kB,16kB,1024kB,16,42493506,16,16,1024,1056,42493506
16kB,16kB,1024kB,32,42314316,16,16,1024,1056,42314316
32kB,16kB,128kB,2,42536762,16,32,128,176,42536762
32kB,16kB,128kB,4,42308083,16,32,128,176,42308083
32kB,16kB,128kB,8,42180765,16,32,128,176,42180765
32kB,16kB,128kB,16,42130415,16,32,128,176,42130415
32kB,16kB,128kB,32,41912388,16,32,128,176,41912388
32kB,16kB,256kB,2,42519706,16,32,256,304,42519706
32kB,16kB,256kB,4,42292503,16,32,256,304,42292503
32kB,16kB,256kB,8,42164260,16,32,256,304,42164260
32kB,16kB,256kB,16,42114180,16,32,256,304,42114180
32kB,16kB,256kB,32,41900107,16,32,256,304,41900107
32kB,16kB,512kB,2,42510498,16,32,512,560,42510498
32kB,16kB,512kB,4,42284701,16,32,512,560,42284701
32kB,16kB,512kB,8,42192157,16,32,512,560,42192157
32kB,16kB,512kB,16,42105847,16,32,512,560,42105847
32kB,16kB,512kB,32,41893688,16,32,512,560,41893688
32kB,16kB,1024kB,2,42521289,16,32,1024,1072,42521289
32kB,16kB,1024kB,4,42317651,16,32,1024,1072,42317651
32kB,16kB,1024kB,8,42158084,16,32,1024,1072,42158084
32kB,16kB,1024kB,16,42122558,16,32,1024,1072,42122558
32kB,16kB,1024kB,32,41922984,16,32,1024,1072,41922984
64kB,16kB,128kB,2,42714634,16,64,128,208,42714634
64kB,16kB,128kB,4,42506058,16,64,128,208,42506058
64kB,16kB,128kB,8,42337431,16,64,128,208,42337431
64kB,16kB,128kB,16,42286815,16,64,128,208,42286815
64kB,16kB,128kB,32,42172511,16,64,128,208,42172511
64kB,16kB,256kB,2,42517742,16,64,256,336,42517742
64kB,16kB,256kB,4,42292503,16,64,256,336,42292503
64kB,16kB,256kB,8,42165220,16,64,256,336,42165220
64kB,16kB,256kB,16,42113910,16,64,256,336,42113910
64kB,16kB,256kB,32,41898389,16,64,256,336,41898389
64kB,16kB,512kB,2,42503220,16,64,512,592,42503220
64kB,16kB,512kB,4,42276915,16,64,512,592,42276915
64kB,16kB,512kB,8,42143386,16,64,512,592,42143386
64kB,16kB,512kB,16,42098338,16,64,512,592,42098338
64kB,16kB,512kB,32,41889209,16,64,512,592,41889209
64kB,16kB,1024kB,2,42522428,16,64,1024,1104,42522428
64kB,16kB,1024kB,4,42308367,16,64,1024,1104,42308367
64kB,16kB,1024kB,8,42161035,16,64,1024,1104,42161035
64kB,16kB,1024kB,16,42130498,16,64,1024,1104,42130498
64kB,16kB,1024kB,32,41924848,16,64,1024,1104,41924848
2kB,32kB,128kB,2,60000677,32,2,128,162,60000677
2kB,32kB,128kB,4,59812123,32,2,128,162,59812123
2kB,32kB,128kB,8,59649634,32,2,128,162,59649634
2kB,32kB,128kB,16,59561146,32,2,128,162,59561146
2kB,32kB,128kB,32,59409124,32,2,128,162,59409124
2kB,32kB,256kB,2,59985848,32,2,256,290,59985848
2kB,32kB,256kB,4,59795027,32,2,256,290,59795027
2kB,32kB,256kB,8,59642613,32,2,256,290,59642613
2kB,32kB,256kB,16,59545022,32,2,256,290,59545022
2kB,32kB,256kB,32,59396896,32,2,256,290,59396896
2kB,32kB,512kB,2,59966345,32,2,512,546,59966345
2kB,32kB,512kB,4,59768569,32,2,512,546,59768569
2kB,32kB,512kB,8,59617068,32,2,512,546,59617068
2kB,32kB,512kB,16,59536962,32,2,512,546,59536962
2kB,32kB,512kB,32,59379035,32,2,512,546,59379035
2kB,32kB,1024kB,2,59978908,32,2,1024,1058,59978908
2kB,32kB,1024kB,4,59794934,32,2,1024,1058,59794934
2kB,32kB,1024kB,8,59653091,32,2,1024,1058,59653091
2kB,32kB,1024kB,16,59568186,32,2,1024,1058,59568186
2kB,32kB,1024kB,32,59375975,32,2,1024,1058,59375975
4kB,32kB,128kB,2,59902050,32,4,128,164,59902050
4kB,32kB,128kB,4,59708763,32,4,128,164,59708763
4kB,32kB,128kB,8,59552713,32,4,128,164,59552713
4kB,32kB,128kB,16,59458286,32,4,128,164,59458286
4kB,32kB,128kB,32,59265185,32,4,128,164,59265185
4kB,32kB,256kB,2,59884008,32,4,256,292,59884008
4kB,32kB,256kB,4,59693430,32,4,256,292,59693430
4kB,32kB,256kB,8,59541024,32,4,256,292,59541024
4kB,32kB,256kB,16,59443825,32,4,256,292,59443825
4kB,32kB,256kB,32,59254407,32,4,256,292,59254407
4kB,32kB,512kB,2,59850710,32,4,512,548,59850710
4kB,32kB,512kB,4,59656748,32,4,512,548,59656748
4kB,32kB,512kB,8,59511661,32,4,512,548,59511661
4kB,32kB,512kB,16,59425238,32,4,512,548,59425238
4kB,32kB,512kB,32,59246189,32,4,512,548,59246189
4kB,32kB,1024kB,2,59841052,32,4,1024,1060,59841052
4kB,32kB,1024kB,4,59655297,32,4,1024,1060,59655297
4kB,32kB,1024kB,8,59510676,32,4,1024,1060,59510676
4kB,32kB,1024kB,16,59438603,32,4,1024,1060,59438603
4kB,32kB,1024kB,32,59259265,32,4,1024,1060,59259265
8kB,32kB,128kB,2,59806929,32,8,128,168,59806929
8kB,32kB,128kB,4,59619894,32,8,128,168,59619894
8kB,32kB,128kB,8,59457158,32,8,128,168,59457158
8kB,32kB,128kB,16,59363113,32,8,128,168,59363113
8kB,32kB,128kB,32,59223314,32,8,128,168,59223314
8kB,32kB,256kB,2,59789775,32,8,256,296,59789775
8kB,32kB,256kB,4,59604321,32,8,256,296,59604321
8kB,32kB,256kB,8,59447387,32,8,256,296,59447387
8kB,32kB,256kB,16,59350273,32,8,256,296,59350273
8kB,32kB,256kB,32,59215337,32,8,256,296,59215337
8kB,32kB,512kB,2,59766401,32,8,512,552,59766401
8kB,32kB,512kB,4,59573341,32,8,512,552,59573341
8kB,32kB,512kB,8,59427611,32,8,512,552,59427611
8kB,32kB,512kB,16,59341965,32,8,512,552,59341965
8kB,32kB,512kB,32,59207229,32,8,512,552,59207229
8kB,32kB,1024kB,2,59770976,32,8,1024,1064,59770976
8kB,32kB,1024kB,4,59585795,32,8,1024,1064,59585795
8kB,32kB,1024kB,8,59443927,32,8,1024,1064,59443927
8kB,32kB,1024kB,16,59362948,32,8,1024,1064,59362948
8kB,32kB,1024kB,32,59221365,32,8,1024,1064,59221365
16kB,32kB,128kB,2,42902980,32,16,128,176,42902980
16kB,32kB,128kB,4,42691050,32,16,128,176,42691050
16kB,32kB,128kB,8,42524646,32,16,128,176,42524646
16kB,32kB,128kB,16,42451378,32,16,128,176,42451378
16kB,32kB,128kB,32,42326961,32,16,128,176,42326961
16kB,32kB,256kB,2,42887408,32,16,256,304,42887408
16kB,32kB,256kB,4,42674234,32,16,256,304,42674234
16kB,32kB,256kB,8,42506682,32,16,256,304,42506682
16kB,32kB,256kB,16,42434206,32,16,256,304,42434206
16kB,32kB,256kB,32,42328690,32,16,256,304,42328690
16kB,32kB,512kB,2,42819392,32,16,512,560,42819392
16kB,32kB,512kB,4,42619961,32,16,512,560,42619961
16kB,32kB,512kB,8,42439472,32,16,512,560,42439472
16kB,32kB,512kB,16,42371775,32,16,512,560,42371775
16kB,32kB,512kB,32,42351562,32,16,512,560,42351562
16kB,32kB,1024kB,2,42885138,32,16,1024,1072,42885138
16kB,32kB,1024kB,4,42683346,32,16,1024,1072,42683346
16kB,32kB,1024kB,8,42504789,32,16,1024,1072,42504789
16kB,32kB,1024kB,16,42492642,32,16,1024,1072,42492642
16kB,32kB,1024kB,32,42306395,32,16,1024,1072,42306395
32kB,32kB,128kB,2,42532791,32,32,128,192,42532791
32kB,32kB,128kB,4,42307500,32,32,128,192,42307500
32kB,32kB,128kB,8,42180240,32,32,128,192,42180240
32kB,32kB,128kB,16,42126970,32,32,128,192,42126970
32kB,32kB,128kB,32,41898540,32,32,128,192,41898540
32kB,32kB,256kB,2,42525499,32,32,256,320,42525499
32kB,32kB,256kB,4,42321943,32,32,256,320,42321943
32kB,32kB,256kB,8,42171073,32,32,256,320,42171073
32kB,32kB,256kB,16,42130207,32,32,256,320,42130207
32kB,32kB,256kB,32,41896021,32,32,256,320,41896021
32kB,32kB,512kB,2,42497930,32,32,512,576,42497930
32kB,32kB,512kB,4,42291171,32,32,512,576,42291171
32kB,32kB,512kB,8,42140399,32,32,512,576,42140399
32kB,32kB,512kB,16,42094472,32,32,512,576,42094472
32kB,32kB,512kB,32,41895278,32,32,512,576,41895278
32kB,32kB,1024kB,2,42513984,32,32,1024,1088,42513984
32kB,32kB,1024kB,4,42299943,32,32,1024,1088,42299943
32kB,32kB,1024kB,8,42167801,32,32,1024,1088,42167801
32kB,32kB,1024kB,16,42124355,32,32,1024,1088,42124355
32kB,32kB,1024kB,32,41922887,32,32,1024,1088,41922887
64kB,32kB,128kB,2,42710927,32,64,128,224,42710927
64kB,32kB,128kB,4,42503391,32,64,128,224,42503391
64kB,32kB,128kB,8,42335194,32,64,128,224,42335194
64kB,32kB,128kB,16,42284020,32,64,128,224,42284020
64kB,32kB,128kB,32,42168658,32,64,128,224,42168658
64kB,32kB,256kB,2,42521631,32,64,256,352,42521631
64kB,32kB,256kB,4,42298520,32,64,256,352,42298520
64kB,32kB,256kB,8,42166210,32,64,256,352,42166210
64kB,32kB,256kB,16,42114490,32,64,256,352,42114490
64kB,32kB,256kB,32,41892206,32,64,256,352,41892206
64kB,32kB,512kB,2,42501185,32,64,512,608,42501185
64kB,32kB,512kB,4,42276358,32,64,512,608,42276358
64kB,32kB,512kB,8,42185159,32,64,512,608,42185159
64kB,32kB,512kB,16,42097706,32,64,512,608,42097706
64kB,32kB,512kB,32,41889106,32,64,512,608,41889106
64kB,32kB,1024kB,2,42518939,32,64,1024,1120,42518939
64kB,32kB,1024kB,4,42297091,32,64,1024,1120,42297091
64kB,32kB,1024kB,8,42155500,32,64,1024,1120,42155500
64kB,32kB,1024kB,16,42120273,32,64,1024,1120,42120273
64kB,32kB,1024kB,32,41929550,32,64,1024,1120,41929550
2kB,64kB,128kB,2,59997631,64,2,128,194,59997631
2kB,64kB,128kB,4,59804226,64,2,128,194,59804226
2kB,64kB,128kB,8,59647485,64,2,128,194,59647485
2kB,64kB,128kB,16,59553774,64,2,128,194,59553774
2kB,64kB,128kB,32,59405411,64,2,128,194,59405411
2kB,64kB,256kB,2,59982058,64,2,256,322,59982058
2kB,64kB,256kB,4,59791092,64,2,256,322,59791092
2kB,64kB,256kB,8,59639059,64,2,256,322,59639059
2kB,64kB,256kB,16,59542031,64,2,256,322,59542031
2kB,64kB,256kB,32,59395568,64,2,256,322,59395568
2kB,64kB,512kB,2,59974957,64,2,512,578,59974957
2kB,64kB,512kB,4,59787521,64,2,512,578,59787521
2kB,64kB,512kB,8,59630457,64,2,512,578,59630457
2kB,64kB,512kB,16,59548308,64,2,512,578,59548308
2kB,64kB,512kB,32,59375705,64,2,512,578,59375705
2kB,64kB,1024kB,2,59973151,64,2,1024,1090,59973151
2kB,64kB,1024kB,4,59785352,64,2,1024,1090,59785352
2kB,64kB,1024kB,8,59642557,64,2,1024,1090,59642557
2kB,64kB,1024kB,16,59568205,64,2,1024,1090,59568205
2kB,64kB,1024kB,32,59378872,64,2,1024,1090,59378872
4kB,64kB,128kB,2,59898803,64,4,128,196,59898803
4kB,64kB,128kB,4,59706024,64,4,128,196,59706024
4kB,64kB,128kB,8,59542373,64,4,128,196,59542373
4kB,64kB,128kB,16,59453062,64,4,128,196,59453062
4kB,64kB,128kB,32,59261516,64,4,128,196,59261516
4kB,64kB,256kB,2,59877851,64,4,256,324,59877851
4kB,64kB,256kB,4,59673770,64,4,256,324,59673770
4kB,64kB,256kB,8,59523963,64,4,256,324,59523963
4kB,64kB,256kB,16,59437865,64,4,256,324,59437865
4kB,64kB,256kB,32,59252129,64,4,256,324,59252129
4kB,64kB,512kB,2,59849831,64,4,512,580,59849831
4kB,64kB,512kB,4,59656040,64,4,512,580,59656040
4kB,64kB,512kB,8,59510895,64,4,512,580,59510895
4kB,64kB,512kB,16,59424360,64,4,512,580,59424360
4kB,64kB,512kB,32,59242813,64,4,512,580,59242813
4kB,64kB,1024kB,2,59840372,64,4,1024,1092,59840372
4kB,64kB,1024kB,4,59654433,64,4,1024,1092,59654433
4kB,64kB,1024kB,8,59509672,64,4,1024,1092,59509672
4kB,64kB,1024kB,16,59437802,64,4,1024,1092,59437802
4kB,64kB,1024kB,32,59258378,64,4,1024,1092,59258378
8kB,64kB,128kB,2,59804661,64,8,128,200,59804661
8kB,64kB,128kB,4,59612273,64,8,128,200,59612273
8kB,64kB,128kB,8,59454496,64,8,128,200,59454496
8kB,64kB,128kB,16,59360542,64,8,128,200,59360542
8kB,64kB,128kB,32,59223837,64,8,128,200,59223837
8kB,64kB,256kB,2,59787510,64,8,256,328,59787510
8kB,64kB,256kB,4,59585931,64,8,256,328,59585931
8kB,64kB,256kB,8,59444684,64,8,256,328,59444684
8kB,64kB,256kB,16,59349533,64,8,256,328,59349533
8kB,64kB,256kB,32,59213047,64,8,256,328,59213047
8kB,64kB,512kB,2,59764182,64,8,512,584,59764182
8kB,64kB,512kB,4,59572460,64,8,512,584,59572460
8kB,64kB,512kB,8,59424255,64,8,512,584,59424255
8kB,64kB,512kB,16,59337174,64,8,512,584,59337174
8kB,64kB,512kB,32,59202589,64,8,512,584,59202589
8kB,64kB,1024kB,2,59767285,64,8,1024,1096,59767285
8kB,64kB,1024kB,4,59584561,64,8,1024,1096,59584561
8kB,64kB,1024kB,8,59441675,64,8,1024,1096,59441675
8kB,64kB,1024kB,16,59356659,64,8,1024,1096,59356659
8kB,64kB,1024kB,32,59224785,64,8,1024,1096,59224785
16kB,64kB,128kB,2,42898440,64,16,128,208,42898440
16kB,64kB,128kB,4,42686619,64,16,128,208,42686619
16kB,64kB,128kB,8,42519716,64,16,128,208,42519716
16kB,64kB,128kB,16,42446004,64,16,128,208,42446004
16kB,64kB,128kB,32,42295389,64,16,128,208,42295389
16kB,64kB,256kB,2,42886543,64,16,256,336,42886543
16kB,64kB,256kB,4,42673325,64,16,256,336,42673325
16kB,64kB,256kB,8,42505881,64,16,256,336,42505881
16kB,64kB,256kB,16,42433391,64,16,256,336,42433391
16kB,64kB,256kB,32,42320564,64,16,256,336,42320564
16kB,64kB,512kB,2,42868882,64,16,512,592,42868882
16kB,64kB,512kB,4,42651978,64,16,512,592,42651978
16kB,64kB,512kB,8,42487429,64,16,512,592,42487429
16kB,64kB,512kB,16,42417790,64,16,512,592,42417790
16kB,64kB,512kB,32,42312334,64,16,512,592,42312334
16kB,64kB,1024kB,2,42883054,64,16,1024,1104,42883054
16kB,64kB,1024kB,4,42647472,64,16,1024,1104,42647472
16kB,64kB,1024kB,8,42498566,64,16,1024,1104,42498566
16kB,64kB,1024kB,16,42455927,64,16,1024,1104,42455927
16kB,64kB,1024kB,32,42314001,64,16,1024,1104,42314001
32kB,64kB,128kB,2,42530041,64,32,128,224,42530041
32kB,64kB,128kB,4,42304050,64,32,128,224,42304050
32kB,64kB,128kB,8,42175717,64,32,128,224,42175717
32kB,64kB,128kB,16,42141704,64,32,128,224,42141704
32kB,64kB,128kB,32,41906936,64,32,128,224,41906936
32kB,64kB,256kB,2,42517909,64,32,256,352,42517909
32kB,64kB,256kB,4,42291058,64,32,256,352,42291058
32kB,64kB,256kB,8,42162957,64,32,256,352,42162957
32kB,64kB,256kB,16,42121726,64,32,256,352,42121726
32kB,64kB,256kB,32,41900198,64,32,256,352,41900198
32kB,64kB,512kB,2,42503047,64,32,512,608,42503047
32kB,64kB,512kB,4,42274310,64,32,512,608,42274310
32kB,64kB,512kB,8,42143120,64,32,512,608,42143120
32kB,64kB,512kB,16,42098491,64,32,512,608,42098491
32kB,64kB,512kB,32,41891364,64,32,512,608,41891364
32kB,64kB,1024kB,2,42522787,64,32,1024,1120,42522787
32kB,64kB,1024kB,4,42297969,64,32,1024,1120,42297969
32kB,64kB,1024kB,8,42158653,64,32,1024,1120,42158653
32kB,64kB,1024kB,16,42131129,64,32,1024,1120,42131129
32kB,64kB,1024kB,32,41924443,64,32,1024,1120,41924443
64kB,64kB,128kB,2,42710916,64,64,128,256,42710916
64kB,64kB,128kB,4,42500710,64,64,128,256,42500710
64kB,64kB,128kB,8,42330229,64,64,128,256,42330229
64kB,64kB,128kB,16,42281151,64,64,128,256,42281151
64kB,64kB,128kB,32,42166002,64,64,128,256,42166002
64kB,64kB,256kB,2,42521104,64,64,256,384,42521104
64kB,64kB,256kB,4,42294656,64,64,256,384,42294656
64kB,64kB,256kB,8,42212410,64,64,256,384,42212410
64kB,64kB,256kB,16,42124966,64,64,256,384,42124966
64kB,64kB,256kB,32,41897744,64,64,256,384,41897744
64kB,64kB,512kB,2,42492520,64,64,512,640,42492520
64kB,64kB,512kB,4,42267700,64,64,512,640,42267700
64kB,64kB,512kB,8,42134251,64,64,512,640,42134251
64kB,64kB,512kB,16,42087302,64,64,512,640,42087302
64kB,64kB,512kB,32,41888238,64,64,512,640,41888238
64kB,64kB,1024kB,2,42521120,64,64,1024,1152,42521120
64kB,64kB,1024kB,4,42313859,64,64,1024,1152,42313859
64kB,64kB,1024kB,8,42155500,64,64,1024,1152,42155500
64kB,64kB,1024kB,16,42120130,64,64,1024,1152,42120130
64kB,64kB,1024kB,32,41917943,64,64,1024,1152,41917943
